metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/discordant_reads	NA	7	2	7	13	8	2	4	14	16	3	4	7	0	7	2	8	5	8	3	4	9	12	6	6	18	5	8	9	5	9	4	4	11	6	7	8	16	4	3	11	18	11	6	6	10	6
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/effective_reads	NA	0	0	0	0	0	2	1	0	16	0	0	0	0	0	0	1	2	0	0	1	7	0	0	0	18	0	0	12	0	0	0	0	0	0	0	0	4	1	1	0	8	0	1	2	1	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/hp_count	NA	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092	46092
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/indel_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	31.250000%	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	57.142857%	NA	NA	NA	22.222222%	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	25.000000%	0.000000%	0.000000%	NA	50.000000%	NA	0.000000%	50.000000%	0.000000%	100.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/insertion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	12.500000%	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	NA	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/low_quality_reads	NA	9	7	9	20	24	4	7	31	33	10	6	17	9	14	9	18	9	16	8	19	17	24	12	14	33	10	18	23	12	13	18	8	21	12	11	19	32	9	8	19	31	16	8	10	26	7
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/percentage_discordant	NA	50.000000%	18.181818%	31.818182%	41.935484%	26.666667%	20.000000%	30.769231%	24.561404%	20.253165%	20.000000%	40.000000%	21.875000%	0.000000%	28.000000%	9.090909%	32.000000%	27.777778%	28.571429%	16.666667%	13.793103%	29.032258%	30.000000%	31.578947%	27.272727%	24.000000%	22.727273%	30.769231%	19.148936%	23.809524%	52.941176%	14.814815%	40.000000%	35.483871%	28.571429%	46.666667%	26.666667%	29.090909%	26.666667%	27.272727%	40.740741%	31.578947%	52.380952%	46.153846%	35.294118%	25.641026%	24.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	20.000000%	7.692308%	0.000000%	20.253165%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	4.000000%	11.111111%	0.000000%	0.000000%	3.448276%	22.580645%	0.000000%	0.000000%	0.000000%	24.000000%	0.000000%	0.000000%	25.531915%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	7.272727%	6.666667%	9.090909%	0.000000%	14.035088%	0.000000%	7.692308%	11.764706%	2.564103%	4.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/percentage_low_quality	NA	64.285714%	63.636364%	40.909091%	64.516129%	80.000000%	40.000000%	53.846154%	54.385965%	41.772152%	66.666667%	60.000000%	53.125000%	64.285714%	56.000000%	40.909091%	72.000000%	50.000000%	57.142857%	44.444444%	65.517241%	54.838710%	60.000000%	63.157895%	63.636364%	44.000000%	45.454545%	69.230769%	48.936170%	57.142857%	76.470588%	66.666667%	80.000000%	67.741935%	57.142857%	73.333333%	63.333333%	58.181818%	60.000000%	72.727273%	70.370370%	54.385965%	76.190476%	61.538462%	58.823529%	66.666667%	28.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/percentage_spanning	NA	64.285714%	63.636364%	40.909091%	64.516129%	80.000000%	60.000000%	61.538462%	56.140351%	62.025316%	66.666667%	60.000000%	53.125000%	64.285714%	56.000000%	40.909091%	76.000000%	61.111111%	57.142857%	44.444444%	68.965517%	77.419355%	60.000000%	63.157895%	68.181818%	68.000000%	45.454545%	69.230769%	76.595745%	57.142857%	76.470588%	66.666667%	80.000000%	67.741935%	57.142857%	73.333333%	63.333333%	65.454545%	66.666667%	81.818182%	70.370370%	70.175439%	76.190476%	69.230769%	70.588235%	69.230769%	32.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/phred	NA	NA	NA	NA	NA	NA	93.000000	93.000000	NA	5.051500	NA	NA	NA	NA	NA	NA	93.000000	93.000000	NA	NA	93.000000	2.430380	NA	NA	NA	6.532125	NA	NA	93.000000	NA	NA	NA	NA	NA	NA	NA	NA	6.020600	93.000000	93.000000	NA	3.010300	NA	93.000000	3.010300	93.000000	-0.000000
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/spanning_reads	NA	9	7	9	20	24	6	8	32	49	10	6	17	9	14	9	19	11	16	8	20	24	24	12	15	51	10	18	36	12	13	18	8	21	12	11	19	36	10	9	19	40	16	9	12	27	8
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/total_reads	NA	14	11	22	31	30	10	13	57	79	15	10	32	14	25	22	25	18	28	18	29	31	40	19	22	75	22	26	47	21	17	27	10	31	21	15	30	55	15	11	27	57	21	13	17	39	25
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/deletion_error_rate	NA	NA	NA	100.000000%	NA	NA	NA	NA	NA	28.571429%	0.000000%	NA	NA	NA	0.000000%	NA	NA	25.000000%	NA	NA	0.000000%	0.000000%	NA	NA	100.000000%	52.631579%	NA	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	NA	NA	0.000000%	NA	0.000000%	NA	44.444444%	NA	NA	NA	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/discordant_reads	NA	4	3	9	4	3	4	2	21	17	4	3	5	2	8	2	8	7	5	3	1	11	13	8	5	9	6	4	14	7	5	3	6	4	3	3	10	15	4	3	4	9	4	11	3	16	9
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/effective_reads	NA	0	0	1	0	0	0	0	0	7	1	0	0	0	1	0	0	4	0	0	1	5	0	0	2	19	0	0	6	0	0	0	1	0	0	0	0	3	0	1	0	9	0	0	0	1	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/effective_reads_with_deletion	NA	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/hp_count	NA	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578	40578
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/indel_error_rate	NA	NA	NA	100.000000%	NA	NA	NA	NA	NA	42.857143%	0.000000%	NA	NA	NA	0.000000%	NA	NA	50.000000%	NA	NA	0.000000%	20.000000%	NA	NA	100.000000%	52.631579%	NA	NA	33.333333%	NA	NA	NA	0.000000%	NA	NA	NA	NA	33.333333%	NA	0.000000%	NA	55.555556%	NA	NA	NA	100.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/insertion_error_rate	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	14.285714%	0.000000%	NA	NA	NA	0.000000%	NA	NA	25.000000%	NA	NA	0.000000%	20.000000%	NA	NA	0.000000%	0.000000%	NA	NA	33.333333%	NA	NA	NA	0.000000%	NA	NA	NA	NA	33.333333%	NA	0.000000%	NA	11.111111%	NA	NA	NA	100.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/low_quality_reads	NA	6	7	17	11	7	9	5	31	31	5	5	9	2	15	3	14	9	13	10	9	16	19	16	10	25	11	7	25	14	6	8	6	9	6	4	12	25	9	5	8	16	7	14	8	25	9
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/percentage_discordant	NA	40.000000%	37.500000%	39.130435%	23.529412%	17.647059%	26.666667%	18.181818%	44.680851%	30.357143%	40.000000%	42.857143%	35.714286%	20.000000%	38.095238%	28.571429%	33.333333%	33.333333%	31.250000%	23.076923%	5.263158%	39.285714%	54.166667%	44.444444%	25.000000%	15.789474%	33.333333%	26.666667%	37.837838%	36.842105%	41.666667%	30.000000%	75.000000%	28.571429%	27.272727%	27.272727%	52.631579%	33.333333%	36.363636%	27.272727%	33.333333%	20.000000%	33.333333%	57.894737%	20.000000%	36.363636%	60.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/percentage_effective	NA	0.000000%	0.000000%	4.347826%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	12.500000%	10.000000%	0.000000%	0.000000%	0.000000%	4.761905%	0.000000%	0.000000%	19.047619%	0.000000%	0.000000%	5.263158%	17.857143%	0.000000%	0.000000%	10.000000%	33.333333%	0.000000%	0.000000%	16.216216%	0.000000%	0.000000%	0.000000%	12.500000%	0.000000%	0.000000%	0.000000%	0.000000%	6.666667%	0.000000%	9.090909%	0.000000%	20.000000%	0.000000%	0.000000%	0.000000%	2.272727%	6.666667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/percentage_low_quality	NA	60.000000%	87.500000%	73.913043%	64.705882%	41.176471%	60.000000%	45.454545%	65.957447%	55.357143%	50.000000%	71.428571%	64.285714%	20.000000%	71.428571%	42.857143%	58.333333%	42.857143%	81.250000%	76.923077%	47.368421%	57.142857%	79.166667%	88.888889%	50.000000%	43.859649%	61.111111%	46.666667%	67.567568%	73.684211%	50.000000%	80.000000%	75.000000%	64.285714%	54.545455%	36.363636%	63.157895%	55.555556%	81.818182%	45.454545%	66.666667%	35.555556%	58.333333%	73.684211%	53.333333%	56.818182%	60.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/percentage_spanning	NA	60.000000%	87.500000%	78.260870%	64.705882%	41.176471%	60.000000%	45.454545%	65.957447%	69.642857%	60.000000%	71.428571%	64.285714%	20.000000%	76.190476%	42.857143%	58.333333%	61.904762%	81.250000%	76.923077%	52.631579%	75.000000%	79.166667%	88.888889%	60.000000%	85.964912%	61.111111%	46.666667%	86.486486%	73.684211%	50.000000%	80.000000%	87.500000%	64.285714%	54.545455%	36.363636%	63.157895%	62.222222%	90.909091%	54.545455%	66.666667%	57.777778%	58.333333%	73.684211%	53.333333%	59.090909%	66.666667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/phred	NA	NA	NA	-0.000000	NA	NA	NA	NA	NA	3.679768	93.000000	NA	NA	NA	93.000000	NA	NA	3.010300	NA	NA	93.000000	6.989700	NA	NA	-0.000000	2.787536	NA	NA	4.771213	NA	NA	NA	93.000000	NA	NA	NA	NA	4.771213	NA	93.000000	NA	2.552725	NA	NA	NA	-0.000000	93.000000
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/spanning_reads	NA	6	7	18	11	7	9	5	31	39	6	5	9	2	16	3	14	13	13	10	10	21	19	16	12	49	11	7	32	14	6	8	7	9	6	4	12	28	10	6	8	26	7	14	8	26	10
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/13/total_reads	NA	10	8	23	17	17	15	11	47	56	10	7	14	10	21	7	24	21	16	13	19	28	24	18	20	57	18	15	37	19	12	10	8	14	11	11	19	45	11	11	12	45	12	19	15	44	15
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/deletion_error_rate	NA	0.000000%	NA	NA	0.000000%	NA	0.000000%	NA	NA	50.000000%	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	NA	100.000000%	100.000000%	NA	NA	NA	33.333333%	NA	0.000000%	25.000000%	NA	NA	100.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	100.000000%	50.000000%	0.000000%	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/discordant_reads	NA	3	1	2	2	3	2	6	12	19	5	6	5	5	13	3	5	9	8	7	5	6	9	5	9	12	3	5	15	4	5	4	6	7	8	3	5	8	1	3	11	7	8	6	6	10	8
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/effective_reads	NA	1	0	0	1	0	3	0	0	8	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	3	0	1	8	0	0	1	0	0	0	0	0	4	1	0	1	2	1	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/hp_count	NA	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311	36311
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/indel_error_rate	NA	0.000000%	NA	NA	0.000000%	NA	0.000000%	NA	NA	50.000000%	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	NA	100.000000%	100.000000%	NA	NA	NA	33.333333%	NA	0.000000%	37.500000%	NA	NA	100.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	100.000000%	50.000000%	0.000000%	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/insertion_error_rate	NA	0.000000%	NA	NA	0.000000%	NA	0.000000%	NA	NA	0.000000%	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA	0.000000%	12.500000%	NA	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/low_quality_reads	NA	5	3	7	6	7	7	9	16	39	7	8	7	6	15	5	9	12	11	8	10	9	15	5	10	18	6	5	27	9	8	8	7	8	11	10	9	23	5	4	13	13	13	8	9	13	16
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/percentage_discordant	NA	25.000000%	8.333333%	16.666667%	9.523810%	15.789474%	16.666667%	35.294118%	34.285714%	26.388889%	41.666667%	37.500000%	38.461538%	71.428571%	20.634921%	21.428571%	27.777778%	52.941176%	34.782609%	53.846154%	26.315789%	33.333333%	25.000000%	55.555556%	64.285714%	30.000000%	27.272727%	33.333333%	34.883721%	28.571429%	29.411765%	25.000000%	54.545455%	38.888889%	34.782609%	17.647059%	27.777778%	15.094340%	4.545455%	50.000000%	35.483871%	26.923077%	34.782609%	37.500000%	28.571429%	31.250000%	33.333333%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/percentage_effective	NA	8.333333%	0.000000%	0.000000%	4.761905%	0.000000%	25.000000%	0.000000%	0.000000%	11.111111%	0.000000%	0.000000%	0.000000%	0.000000%	1.587302%	0.000000%	0.000000%	5.882353%	4.347826%	0.000000%	5.263158%	5.555556%	0.000000%	0.000000%	0.000000%	7.500000%	0.000000%	6.666667%	18.604651%	0.000000%	0.000000%	6.250000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	7.547170%	4.545455%	0.000000%	3.225806%	7.692308%	4.347826%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/percentage_low_quality	NA	41.666667%	25.000000%	58.333333%	28.571429%	36.842105%	58.333333%	52.941176%	45.714286%	54.166667%	58.333333%	50.000000%	53.846154%	85.714286%	23.809524%	35.714286%	50.000000%	70.588235%	47.826087%	61.538462%	52.631579%	50.000000%	41.666667%	55.555556%	71.428571%	45.000000%	54.545455%	33.333333%	62.790698%	64.285714%	47.058824%	50.000000%	63.636364%	44.444444%	47.826087%	58.823529%	50.000000%	43.396226%	22.727273%	66.666667%	41.935484%	50.000000%	56.521739%	50.000000%	42.857143%	40.625000%	66.666667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/percentage_spanning	NA	50.000000%	25.000000%	58.333333%	33.333333%	36.842105%	83.333333%	52.941176%	45.714286%	65.277778%	58.333333%	50.000000%	53.846154%	85.714286%	25.396825%	35.714286%	50.000000%	76.470588%	52.173913%	61.538462%	57.894737%	55.555556%	41.666667%	55.555556%	71.428571%	55.000000%	54.545455%	40.000000%	81.395349%	64.285714%	47.058824%	56.250000%	63.636364%	44.444444%	47.826087%	58.823529%	50.000000%	50.943396%	27.272727%	66.666667%	45.161290%	57.692308%	60.869565%	50.000000%	42.857143%	40.625000%	66.666667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/phred	NA	93.000000	NA	NA	93.000000	NA	93.000000	NA	NA	3.010300	NA	NA	NA	NA	93.000000	NA	NA	93.000000	93.000000	NA	-0.000000	-0.000000	NA	NA	NA	4.771213	NA	93.000000	4.259687	NA	NA	-0.000000	NA	NA	NA	NA	NA	93.000000	93.000000	NA	-0.000000	3.010300	93.000000	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/spanning_reads	NA	6	3	7	7	7	10	9	16	47	7	8	7	6	16	5	9	13	12	8	11	10	15	5	10	22	6	6	35	9	8	9	7	8	11	10	9	27	6	4	14	15	14	8	9	13	16
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/14/total_reads	NA	12	12	12	21	19	12	17	35	72	12	16	13	7	63	14	18	17	23	13	19	18	36	9	14	40	11	15	43	14	17	16	11	18	23	17	18	53	22	6	31	26	23	16	21	32	24
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/deletion_error_rate	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	NA	31.250000%	NA	NA	NA	NA	0.000000%	NA	NA	50.000000%	NA	NA	NA	20.000000%	100.000000%	NA	NA	50.000000%	0.000000%	NA	40.000000%	NA	NA	NA	0.000000%	NA	NA	NA	NA	0.000000%	NA	0.000000%	NA	66.666667%	NA	0.000000%	0.000000%	0.000000%	50.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/discordant_reads	NA	7	5	11	6	6	7	11	35	25	8	4	7	9	19	7	21	13	13	8	9	13	16	6	10	16	13	10	15	13	11	18	7	18	9	15	12	29	13	5	9	8	11	9	11	10	12
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/effective_reads	NA	1	0	0	0	1	0	0	0	16	0	0	0	0	1	0	0	2	0	0	0	5	1	0	0	12	1	0	5	0	0	0	1	0	0	0	0	2	0	2	0	3	0	1	1	1	2
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/hp_count	NA	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169	32169
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/indel_error_rate	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	NA	31.250000%	NA	NA	NA	NA	0.000000%	NA	NA	50.000000%	NA	NA	NA	20.000000%	100.000000%	NA	NA	50.000000%	0.000000%	NA	60.000000%	NA	NA	NA	100.000000%	NA	NA	NA	NA	0.000000%	NA	0.000000%	NA	66.666667%	NA	0.000000%	0.000000%	0.000000%	50.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/insertion_error_rate	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	0.000000%	NA	20.000000%	NA	NA	NA	100.000000%	NA	NA	NA	NA	0.000000%	NA	0.000000%	NA	0.000000%	NA	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/low_quality_reads	NA	9	7	19	14	18	11	14	50	69	13	9	12	15	33	11	33	19	18	11	19	22	30	13	16	26	18	16	29	19	18	28	14	22	14	19	19	50	18	9	18	14	25	12	17	16	20
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/15/percentage_discordant	NA	41.176471%	35.714286%	35.483871%	28.571429%	17.142857%	58.333333%	37.931034%	41.666667%	22.522523%	40.000000%	21.052632%	25.925926%	42.857143%	38.775510%	50.000000%	42.000000%	41.935484%	52.000000%	50.000000%	27.272727%	41.935484%	39.024390%	30.000000%	41.666667%	24.615385%	61.904762%	40.000000%	39.473684%	48.148148%	47.826087%	51.428571%	31.818182%	52.941176%	37.500000%	55.555556%	44.444444%	33.720930%	52.000000%	27.777778%	24.324324%	34.782609%	29.729730%	37.500000%	44.000000%	28.571429%	32.432432%
