metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/percentage_discordant	NA	16.666667%	40.000000%	13.333333%	33.333333%	30.769231%	25.000000%	28.571429%	5.583756%	23.076923%	22.222222%	25.000000%	35.714286%	0.000000%	31.111111%	0.000000%	27.777778%	25.000000%	31.250000%	9.090909%	22.222222%	20.512821%	3.846154%	11.111111%	7.142857%	13.157895%	10.000000%	12.500000%	25.531915%	12.500000%	62.500000%	6.666667%	25.000000%	21.428571%	40.000000%	16.666667%	14.285714%	13.725490%	18.750000%	0.000000%	33.333333%	20.000000%	18.750000%	50.000000%	10.000000%	35.000000%	8.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/percentage_effective	NA	0.000000%	0.000000%	6.666667%	8.333333%	7.692308%	0.000000%	0.000000%	0.000000%	23.076923%	0.000000%	12.500000%	0.000000%	0.000000%	11.111111%	7.142857%	0.000000%	20.000000%	18.750000%	0.000000%	0.000000%	41.025641%	11.538462%	22.222222%	0.000000%	30.263158%	0.000000%	12.500000%	31.914894%	0.000000%	0.000000%	0.000000%	0.000000%	7.142857%	0.000000%	0.000000%	0.000000%	25.490196%	0.000000%	0.000000%	9.523810%	21.333333%	0.000000%	0.000000%	0.000000%	5.000000%	4.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/percentage_low_quality	NA	66.666667%	80.000000%	40.000000%	66.666667%	69.230769%	62.500000%	64.285714%	12.182741%	52.747253%	100.000000%	75.000000%	64.285714%	71.428571%	44.444444%	50.000000%	44.444444%	65.000000%	68.750000%	45.454545%	72.222222%	38.461538%	34.615385%	66.666667%	64.285714%	32.894737%	70.000000%	37.500000%	53.191489%	62.500000%	87.500000%	60.000000%	87.500000%	71.428571%	73.333333%	41.666667%	42.857143%	47.058824%	75.000000%	60.000000%	42.857143%	42.666667%	56.250000%	68.181818%	70.000000%	60.000000%	52.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/percentage_spanning	NA	66.666667%	80.000000%	46.666667%	75.000000%	76.923077%	62.500000%	64.285714%	12.182741%	76.923077%	100.000000%	87.500000%	64.285714%	71.428571%	55.555556%	57.142857%	44.444444%	85.000000%	87.500000%	45.454545%	72.222222%	79.487179%	46.153846%	88.888889%	64.285714%	65.789474%	70.000000%	50.000000%	85.106383%	62.500000%	87.500000%	60.000000%	87.500000%	78.571429%	73.333333%	41.666667%	42.857143%	72.549020%	75.000000%	60.000000%	52.380952%	64.000000%	56.250000%	68.181818%	70.000000%	65.000000%	56.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/phred	NA	NA	NA	93.000000	93.000000	93.000000	NA	NA	NA	4.771213	NA	93.000000	NA	NA	6.989700	93.000000	NA	93.000000	4.771213	NA	NA	7.269987	4.771213	93.000000	NA	5.166298	NA	93.000000	93.000000	NA	NA	NA	NA	93.000000	NA	NA	NA	2.688453	NA	NA	93.000000	4.259687	NA	NA	NA	93.000000	93.000000
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/spanning_reads	NA	4	4	7	9	10	5	9	24	70	9	7	9	5	25	8	8	17	14	5	13	31	12	8	9	50	7	4	40	10	21	9	7	11	11	5	3	37	12	3	11	48	9	15	7	13	14
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/total_reads	NA	6	5	15	12	13	8	14	197	91	9	8	14	7	45	14	18	20	16	11	18	39	26	9	14	76	10	8	47	16	24	15	8	14	15	12	7	51	16	5	21	75	16	22	10	20	25
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/12/deletion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	18.750000%	NA	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	57.142857%	NA	NA	NA	22.222222%	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	25.000000%	0.000000%	0.000000%	NA	50.000000%	NA	0.000000%	50.000000%	0.000000%	100.000000%
